"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify if customers can successfully withdraw their funds","2233","verifyCustomerCanWithdrawSuccessfully","BankAppSuite","Tue Jul 08 12:56:56 GMT 2025","passed","Tue Jul 08 12:56:59 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCanWithdrawSuccessfully"
"Verify if a bank manager is able to delete a customer account","3130","verifyBankManagerCanDeleteCustomerAccount","BankAppSuite","Tue Jul 08 12:57:43 GMT 2025","passed","Tue Jul 08 12:57:46 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyBankManagerCanDeleteCustomerAccount"
"Verify if a bank manager is able to add new customers","1399","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Tue Jul 08 12:57:36 GMT 2025","passed","Tue Jul 08 12:57:37 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"Verify if amount gets validated when withdrawing","7011","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 12:57:08 GMT 2025","passed","Tue Jul 08 12:57:15 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if a bank manager is able to add new customers","1373","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Tue Jul 08 12:57:27 GMT 2025","passed","Tue Jul 08 12:57:29 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"Verify if customers can view their own transaction history","2085","verifyCustomerCanViewTransactionHistory","BankAppSuite","Tue Jul 08 12:56:23 GMT 2025","passed","Tue Jul 08 12:56:25 GMT 2025","tests.customer.TransactionHistoryTest","Browser Tests","tests.customer.TransactionHistoryTest","verifyCustomerCanViewTransactionHistory"
"Verify if amount gets validated when withdrawing","7323","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 12:57:20 GMT 2025","passed","Tue Jul 08 12:57:27 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if customers can successfully withdraw their funds","1903","verifyCustomerCanWithdrawSuccessfully","BankAppSuite","Tue Jul 08 12:56:47 GMT 2025","passed","Tue Jul 08 12:56:49 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCanWithdrawSuccessfully"
"Verify if customer names are validated when adding new customer","774","verifyAddingCustomersWithInvalidNames","BankAppSuite","Tue Jul 08 12:57:18 GMT 2025","failed","Tue Jul 08 12:57:18 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyAddingCustomersWithInvalidNames"
"Verify if amount gets validated when withdrawing","7017","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 12:56:51 GMT 2025","passed","Tue Jul 08 12:56:58 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
