"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify if amount gets validated when making deposits","7017","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 12:39:30 GMT 2025","passed","Tue Jul 08 12:39:37 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if amount gets validated when making deposits","7451","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 12:40:02 GMT 2025","passed","Tue Jul 08 12:40:09 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if a customer can successfully make a deposit","2269","verifyCustomerCanDepositSuccessfully","BankAppSuite","Tue Jul 08 12:39:40 GMT 2025","passed","Tue Jul 08 12:39:42 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCanDepositSuccessfully"
"Verify if amount gets validated when withdrawing","7265","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 12:40:15 GMT 2025","passed","Tue Jul 08 12:40:22 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if amount gets validated when making deposits","7365","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 12:39:37 GMT 2025","passed","Tue Jul 08 12:39:45 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if a bank manager is able to open an account for a customer","2175","verifyManagerCanOpenAccountSuccessfully","BankAppSuite","Tue Jul 08 12:40:54 GMT 2025","passed","Tue Jul 08 12:40:56 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyManagerCanOpenAccountSuccessfully"
"Verify if currency is required to open an account","6169","verifyCurrencyIsMandatoryToOpenAccount","BankAppSuite","Tue Jul 08 12:40:45 GMT 2025","passed","Tue Jul 08 12:40:51 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyCurrencyIsMandatoryToOpenAccount"
"Verify if customers can successfully withdraw their funds","2226","verifyCustomerCanWithdrawSuccessfully","BankAppSuite","Tue Jul 08 12:40:01 GMT 2025","passed","Tue Jul 08 12:40:03 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCanWithdrawSuccessfully"
"Verify if customers can view their own transaction history","2198","verifyCustomerCanViewTransactionHistory","BankAppSuite","Tue Jul 08 12:39:32 GMT 2025","passed","Tue Jul 08 12:39:34 GMT 2025","tests.customer.TransactionHistoryTest","Browser Tests","tests.customer.TransactionHistoryTest","verifyCustomerCanViewTransactionHistory"
"Verify if customer can successfully access their own account","1791","verifyCustomerCanAccessTheirOwnAccount","BankAppSuite","Tue Jul 08 12:39:32 GMT 2025","passed","Tue Jul 08 12:39:34 GMT 2025","tests.login.CustomerLoginTest","Browser Tests","tests.login.CustomerLoginTest","verifyCustomerCanAccessTheirOwnAccount"
"Verify if amount gets validated when making deposits","7026","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 12:39:48 GMT 2025","passed","Tue Jul 08 12:39:55 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if a bank manager is able to delete a customer account","3104","verifyBankManagerCanDeleteCustomerAccount","BankAppSuite","Tue Jul 08 12:40:56 GMT 2025","passed","Tue Jul 08 12:40:59 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyBankManagerCanDeleteCustomerAccount"
"Verify if amount gets validated when making deposits","7288","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 12:39:53 GMT 2025","passed","Tue Jul 08 12:40:00 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if a customer profile is required to open an account","6162","verifyCustomerIsMandatoryToOpenAccount","BankAppSuite","Tue Jul 08 12:40:54 GMT 2025","passed","Tue Jul 08 12:41:00 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyCustomerIsMandatoryToOpenAccount"
"Verify if customer names are validated when adding new customer","1448","verifyAddingCustomersWithInvalidNames","BankAppSuite","Tue Jul 08 12:40:27 GMT 2025","failed","Tue Jul 08 12:40:29 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyAddingCustomersWithInvalidNames"
"Verify if amount gets validated when making deposits","6942","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 12:39:39 GMT 2025","passed","Tue Jul 08 12:39:46 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if a bank manager is able to open an account for a customer","2268","verifyManagerCanOpenAccountSuccessfully","BankAppSuite","Tue Jul 08 12:41:18 GMT 2025","passed","Tue Jul 08 12:41:20 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyManagerCanOpenAccountSuccessfully"
"Verify if customers can view their own transaction history","2215","verifyCustomerCanViewTransactionHistory","BankAppSuite","Tue Jul 08 12:39:36 GMT 2025","passed","Tue Jul 08 12:39:38 GMT 2025","tests.customer.TransactionHistoryTest","Browser Tests","tests.customer.TransactionHistoryTest","verifyCustomerCanViewTransactionHistory"
"Verify if a customer profile is required to open an account","6362","verifyCustomerIsMandatoryToOpenAccount","BankAppSuite","Tue Jul 08 12:40:46 GMT 2025","passed","Tue Jul 08 12:40:53 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyCustomerIsMandatoryToOpenAccount"
