"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify if user can view all posts","231","verifyGetPostsReturnsAllPosts","API Test Suite","Fri Jul 11 09:19:42 GMT 2025","passed","Fri Jul 11 09:19:42 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyGetPostsReturnsAllPosts"
"Verify if schema validation enforces required fields constraint when creating a post","127","verifySchemaValidationWhenCreatingPost","API Test Suite","Fri Jul 11 09:19:42 GMT 2025","failed","Fri Jul 11 09:19:43 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifySchemaValidationWhenCreatingPost"
"Verify if user can view specific post","597","verifyGetPostByIdReturnsTheExpectedPost","API Test Suite","Fri Jul 11 09:19:41 GMT 2025","passed","Fri Jul 11 09:19:42 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyGetPostByIdReturnsTheExpectedPost"
"Verify if schema validation enforces required fields constraint when creating a post","228","verifySchemaValidationWhenCreatingPost","API Test Suite","Fri Jul 11 09:19:43 GMT 2025","failed","Fri Jul 11 09:19:43 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifySchemaValidationWhenCreatingPost"
"Verify if user can view all comments related to a specific post","75","verifyPostHasComments","API Test Suite","Fri Jul 11 09:19:42 GMT 2025","passed","Fri Jul 11 09:19:42 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyPostHasComments"
"Verify if user can create a post successfully given all required data","2661","verifyCreatePostSuccessGivenRequiredData","API Test Suite","Fri Jul 11 09:19:39 GMT 2025","passed","Fri Jul 11 09:19:41 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyCreatePostSuccessGivenRequiredData"
"Verify if a post can be deleted","118","verifyPostCanBeDeletedSuccessfully","API Test Suite","Fri Jul 11 09:19:42 GMT 2025","passed","Fri Jul 11 09:19:42 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyPostCanBeDeletedSuccessfully"
"Verify if schema validation enforces required fields constraint when creating a post","258","verifySchemaValidationWhenCreatingPost","API Test Suite","Fri Jul 11 09:19:43 GMT 2025","failed","Fri Jul 11 09:19:43 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifySchemaValidationWhenCreatingPost"
"Verify if user can update a post successfully given all required data","269","verifyUpdatePostSuccessGivenRequiredData","API Test Suite","Fri Jul 11 09:19:43 GMT 2025","passed","Fri Jul 11 09:19:43 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyUpdatePostSuccessGivenRequiredData"
"Verify if user cannot perform an update on a non-existing post","253","verifyUpdatingNonExistingPostFails","API Test Suite","Fri Jul 11 09:19:43 GMT 2025","failed","Fri Jul 11 09:19:44 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyUpdatingNonExistingPostFails"
"Verify if correct status code is returned when requested post is not found","76","verifyFetchingNonExistingPostReturns404","API Test Suite","Fri Jul 11 09:19:41 GMT 2025","passed","Fri Jul 11 09:19:41 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyFetchingNonExistingPostReturns404"
