"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify if amount gets validated when withdrawing","6947","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 20:49:38 GMT 2025","passed","Tue Jul 08 20:49:45 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if amount gets validated when withdrawing","6932","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 20:49:56 GMT 2025","passed","Tue Jul 08 20:50:03 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if currency is required to open an account","6356","verifyCurrencyIsMandatoryToOpenAccount","BankAppSuite","Tue Jul 08 20:50:19 GMT 2025","passed","Tue Jul 08 20:50:26 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyCurrencyIsMandatoryToOpenAccount"
"Verify if customers can view their own transaction history","2049","verifyCustomerCanViewTransactionHistory","BankAppSuite","Tue Jul 08 20:49:13 GMT 2025","passed","Tue Jul 08 20:49:15 GMT 2025","tests.customer.TransactionHistoryTest","Browser Tests","tests.customer.TransactionHistoryTest","verifyCustomerCanViewTransactionHistory"
"Verify if a customer can successfully make a deposit","2376","verifyCustomerCanDepositSuccessfully","BankAppSuite","Tue Jul 08 20:49:11 GMT 2025","passed","Tue Jul 08 20:49:14 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCanDepositSuccessfully"
"Verify if customer can successfully access their own account","1781","verifyCustomerCanAccessTheirOwnAccount","BankAppSuite","Tue Jul 08 20:49:03 GMT 2025","passed","Tue Jul 08 20:49:05 GMT 2025","tests.login.CustomerLoginTest","Browser Tests","tests.login.CustomerLoginTest","verifyCustomerCanAccessTheirOwnAccount"
"Verify if amount gets validated when withdrawing","7261","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 20:50:00 GMT 2025","passed","Tue Jul 08 20:50:07 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if a bank manager is able to add new customers","746","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Tue Jul 08 20:50:12 GMT 2025","passed","Tue Jul 08 20:50:12 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"Verify if customers can successfully withdraw their funds","2256","verifyCustomerCanWithdrawSuccessfully","BankAppSuite","Tue Jul 08 20:49:43 GMT 2025","passed","Tue Jul 08 20:49:45 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCanWithdrawSuccessfully"
"Verify if a bank manager is able to add new customers","1356","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Tue Jul 08 20:50:14 GMT 2025","passed","Tue Jul 08 20:50:15 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"Verify if a customer can successfully make a deposit","1896","verifyCustomerCanDepositSuccessfully","BankAppSuite","Tue Jul 08 20:49:04 GMT 2025","passed","Tue Jul 08 20:49:06 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCanDepositSuccessfully"
"Verify if a bank manager is able to open an account for a customer","1308","verifyManagerCanOpenAccountSuccessfully","BankAppSuite","Tue Jul 08 20:50:39 GMT 2025","passed","Tue Jul 08 20:50:40 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyManagerCanOpenAccountSuccessfully"
"Verify if a bank manager is able to add new customers","1412","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Tue Jul 08 20:50:23 GMT 2025","passed","Tue Jul 08 20:50:24 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"Verify if amount gets validated when making deposits","6976","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 20:49:08 GMT 2025","passed","Tue Jul 08 20:49:15 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if a customer can successfully make a deposit","2463","verifyCustomerCanDepositSuccessfully","BankAppSuite","Tue Jul 08 20:49:16 GMT 2025","passed","Tue Jul 08 20:49:18 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCanDepositSuccessfully"
"Verify if amount gets validated when withdrawing","7266","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 20:49:52 GMT 2025","passed","Tue Jul 08 20:49:59 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if customer postal code is validated when adding new customer","1406","verifyAddingCustomersWithInvalidPostalCode","BankAppSuite","Tue Jul 08 20:50:19 GMT 2025","failed","Tue Jul 08 20:50:21 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyAddingCustomersWithInvalidPostalCode"
"Verify if amount gets validated when making deposits","7484","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 20:49:34 GMT 2025","passed","Tue Jul 08 20:49:41 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if amount gets validated when withdrawing","7329","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 20:49:47 GMT 2025","passed","Tue Jul 08 20:49:55 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if a bank manager is able to add new customers","752","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Tue Jul 08 20:50:15 GMT 2025","passed","Tue Jul 08 20:50:16 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"Verify if customer can successfully access their own account","1806","verifyCustomerCanAccessTheirOwnAccount","BankAppSuite","Tue Jul 08 20:49:10 GMT 2025","passed","Tue Jul 08 20:49:12 GMT 2025","tests.login.CustomerLoginTest","Browser Tests","tests.login.CustomerLoginTest","verifyCustomerCanAccessTheirOwnAccount"
"Verify if a customer profile is required to open an account","6365","verifyCustomerIsMandatoryToOpenAccount","BankAppSuite","Tue Jul 08 20:50:26 GMT 2025","passed","Tue Jul 08 20:50:33 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyCustomerIsMandatoryToOpenAccount"
"Verify if customer postal code is validated when adding new customer","1358","verifyAddingCustomersWithInvalidPostalCode","BankAppSuite","Tue Jul 08 20:50:10 GMT 2025","failed","Tue Jul 08 20:50:11 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyAddingCustomersWithInvalidPostalCode"
"Verify if a customer profile is required to open an account","6410","verifyCustomerIsMandatoryToOpenAccount","BankAppSuite","Tue Jul 08 20:50:43 GMT 2025","passed","Tue Jul 08 20:50:50 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyCustomerIsMandatoryToOpenAccount"
