"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify back to products functionality","323","verifyBackToProducts","SelenideGridSuite","Sat Aug 09 13:46:29 GMT 2025","passed","Sat Aug 09 13:46:29 GMT 2025","tests.checkout.CompleteTest","Cross-Browser Tests","tests.checkout.CompleteTest","verifyBackToProducts"
"Verify item `Remove` option from inventory page works correctly","1795","verifyRemoveItemFromInventory","SelenideGridSuite","Sat Aug 09 13:46:22 GMT 2025","passed","Sat Aug 09 13:46:24 GMT 2025","tests.product.InventoryTest","Cross-Browser Tests","tests.product.InventoryTest","verifyRemoveItemFromInventory"
"Verify login with invalid credentials: {desc}","922","verifyLoginWithInvalidCredentials","SelenideGridSuite","Sat Aug 09 13:46:18 GMT 2025","passed","Sat Aug 09 13:46:19 GMT 2025","tests.login.LoginTest","Cross-Browser Tests","tests.login.LoginTest","verifyLoginWithInvalidCredentials"
"Verify cart item can be removed","1339","verifyCartItemCanBeRemoved","SelenideGridSuite","Sat Aug 09 13:46:23 GMT 2025","passed","Sat Aug 09 13:46:24 GMT 2025","tests.cart.CartTest","Cross-Browser Tests","tests.cart.CartTest","verifyCartItemCanBeRemoved"
"Verify billing info is properly validated: {desc}","438","verifyBillingInfoValidation","SelenideGridSuite","Sat Aug 09 13:46:05 GMT 2025","passed","Sat Aug 09 13:46:05 GMT 2025","tests.checkout.BillingInfoTest","Cross-Browser Tests","tests.checkout.BillingInfoTest","verifyBillingInfoValidation"
"Verify login with invalid credentials: {desc}","333","verifyLoginWithInvalidCredentials","SelenideGridSuite","Sat Aug 09 13:46:01 GMT 2025","passed","Sat Aug 09 13:46:02 GMT 2025","tests.login.LoginTest","Cross-Browser Tests","tests.login.LoginTest","verifyLoginWithInvalidCredentials"
"Verify billing info is properly validated: {desc}","413","verifyBillingInfoValidation","SelenideGridSuite","Sat Aug 09 13:46:26 GMT 2025","passed","Sat Aug 09 13:46:26 GMT 2025","tests.checkout.BillingInfoTest","Cross-Browser Tests","tests.checkout.BillingInfoTest","verifyBillingInfoValidation"
"Verify the overview page displays correct billing info and totals","121","verifyCorrectBillingTotalsAreDisplayed","SelenideGridSuite","Sat Aug 09 13:46:27 GMT 2025","passed","Sat Aug 09 13:46:27 GMT 2025","tests.checkout.OverviewTest","Cross-Browser Tests","tests.checkout.OverviewTest","verifyCorrectBillingTotalsAreDisplayed"
"Verify filling overview with valid billing info","597","verifyFillingOverviewWithValidBillingInfo","SelenideGridSuite","Sat Aug 09 13:46:04 GMT 2025","passed","Sat Aug 09 13:46:05 GMT 2025","tests.checkout.BillingInfoTest","Cross-Browser Tests","tests.checkout.BillingInfoTest","verifyFillingOverviewWithValidBillingInfo"
"Verify cart count badge is updated when removing items","680","verifyCartCountBadgeWhenRemovingFromCart","SelenideGridSuite","Sat Aug 09 13:46:00 GMT 2025","passed","Sat Aug 09 13:46:01 GMT 2025","tests.product.InventoryTest","Cross-Browser Tests","tests.product.InventoryTest","verifyCartCountBadgeWhenRemovingFromCart"
"Verify the overview page displays correct billing info and totals","183","verifyCorrectBillingTotalsAreDisplayed","SelenideGridSuite","Sat Aug 09 13:46:05 GMT 2025","passed","Sat Aug 09 13:46:05 GMT 2025","tests.checkout.OverviewTest","Cross-Browser Tests","tests.checkout.OverviewTest","verifyCorrectBillingTotalsAreDisplayed"
"Verify checkout completion","27","verifyCheckoutCompletion","SelenideGridSuite","Sat Aug 09 13:46:29 GMT 2025","passed","Sat Aug 09 13:46:29 GMT 2025","tests.checkout.CompleteTest","Cross-Browser Tests","tests.checkout.CompleteTest","verifyCheckoutCompletion"
"Verify cart count badge is updated when adding items","711","verifyCartCountBadgeWhenAddingToCart","SelenideGridSuite","Sat Aug 09 13:45:59 GMT 2025","passed","Sat Aug 09 13:46:00 GMT 2025","tests.product.InventoryTest","Cross-Browser Tests","tests.product.InventoryTest","verifyCartCountBadgeWhenAddingToCart"
"Verify back to products functionality","194","verifyBackToProducts","SelenideGridSuite","Sat Aug 09 13:46:06 GMT 2025","passed","Sat Aug 09 13:46:06 GMT 2025","tests.checkout.CompleteTest","Cross-Browser Tests","tests.checkout.CompleteTest","verifyBackToProducts"
"Verify login with invalid credentials: {desc}","392","verifyLoginWithInvalidCredentials","SelenideGridSuite","Sat Aug 09 13:46:21 GMT 2025","passed","Sat Aug 09 13:46:21 GMT 2025","tests.login.LoginTest","Cross-Browser Tests","tests.login.LoginTest","verifyLoginWithInvalidCredentials"
"Verify cart count badge is updated when adding items","1038","verifyCartCountBadgeWhenAddingToCart","SelenideGridSuite","Sat Aug 09 13:46:19 GMT 2025","passed","Sat Aug 09 13:46:20 GMT 2025","tests.product.InventoryTest","Cross-Browser Tests","tests.product.InventoryTest","verifyCartCountBadgeWhenAddingToCart"
"Verify login with valid credentials: {desc}","724","verifyLoginWithValidCredentials","SelenideGridSuite","Sat Aug 09 13:45:59 GMT 2025","passed","Sat Aug 09 13:45:59 GMT 2025","tests.login.LoginTest","Cross-Browser Tests","tests.login.LoginTest","verifyLoginWithValidCredentials"
"Verify login with invalid credentials: {desc}","461","verifyLoginWithInvalidCredentials","SelenideGridSuite","Sat Aug 09 13:46:19 GMT 2025","passed","Sat Aug 09 13:46:20 GMT 2025","tests.login.LoginTest","Cross-Browser Tests","tests.login.LoginTest","verifyLoginWithInvalidCredentials"
"Verify checkout completion","45","verifyCheckoutCompletion","SelenideGridSuite","Sat Aug 09 13:46:07 GMT 2025","passed","Sat Aug 09 13:46:07 GMT 2025","tests.checkout.CompleteTest","Cross-Browser Tests","tests.checkout.CompleteTest","verifyCheckoutCompletion"
"Verify billing info is properly validated: {desc}","359","verifyBillingInfoValidation","SelenideGridSuite","Sat Aug 09 13:46:32 GMT 2025","passed","Sat Aug 09 13:46:32 GMT 2025","tests.checkout.BillingInfoTest","Cross-Browser Tests","tests.checkout.BillingInfoTest","verifyBillingInfoValidation"
"Verify checkout option is available when cart has items","665","verifyCheckoutOptionIsAvailableWhenCartHasItems","SelenideGridSuite","Sat Aug 09 13:46:24 GMT 2025","passed","Sat Aug 09 13:46:25 GMT 2025","tests.cart.CartTest","Cross-Browser Tests","tests.cart.CartTest","verifyCheckoutOptionIsAvailableWhenCartHasItems"
"Verify cart count badge is updated when removing items","1119","verifyCartCountBadgeWhenRemovingFromCart","SelenideGridSuite","Sat Aug 09 13:46:20 GMT 2025","passed","Sat Aug 09 13:46:21 GMT 2025","tests.product.InventoryTest","Cross-Browser Tests","tests.product.InventoryTest","verifyCartCountBadgeWhenRemovingFromCart"
"Verify login with invalid credentials: {desc}","732","verifyLoginWithInvalidCredentials","SelenideGridSuite","Sat Aug 09 13:45:59 GMT 2025","passed","Sat Aug 09 13:45:59 GMT 2025","tests.login.LoginTest","Cross-Browser Tests","tests.login.LoginTest","verifyLoginWithInvalidCredentials"
"Verify products are populated and contain details","700","verifyProductsArePopulated","SelenideGridSuite","Sat Aug 09 13:46:01 GMT 2025","passed","Sat Aug 09 13:46:02 GMT 2025","tests.product.InventoryTest","Cross-Browser Tests","tests.product.InventoryTest","verifyProductsArePopulated"
"Verify filling overview with valid billing info","478","verifyFillingOverviewWithValidBillingInfo","SelenideGridSuite","Sat Aug 09 13:46:26 GMT 2025","passed","Sat Aug 09 13:46:27 GMT 2025","tests.checkout.BillingInfoTest","Cross-Browser Tests","tests.checkout.BillingInfoTest","verifyFillingOverviewWithValidBillingInfo"
"Verify billing info is properly validated: {desc}","403","verifyBillingInfoValidation","SelenideGridSuite","Sat Aug 09 13:46:04 GMT 2025","passed","Sat Aug 09 13:46:04 GMT 2025","tests.checkout.BillingInfoTest","Cross-Browser Tests","tests.checkout.BillingInfoTest","verifyBillingInfoValidation"
"Verify login with invalid credentials: {desc}","350","verifyLoginWithInvalidCredentials","SelenideGridSuite","Sat Aug 09 13:46:01 GMT 2025","passed","Sat Aug 09 13:46:01 GMT 2025","tests.login.LoginTest","Cross-Browser Tests","tests.login.LoginTest","verifyLoginWithInvalidCredentials"
"Verify login with valid credentials: {desc}","1139","verifyLoginWithValidCredentials","SelenideGridSuite","Sat Aug 09 13:46:18 GMT 2025","passed","Sat Aug 09 13:46:19 GMT 2025","tests.login.LoginTest","Cross-Browser Tests","tests.login.LoginTest","verifyLoginWithValidCredentials"
"Verify checkout option does not appear when cart is empty","453","verifyCheckoutOptionDoesNotAppearWhenCartIsEmpty","SelenideGridSuite","Sat Aug 09 13:46:23 GMT 2025","failed","Sat Aug 09 13:46:23 GMT 2025","tests.cart.CartTest","Cross-Browser Tests","tests.cart.CartTest","verifyCheckoutOptionDoesNotAppearWhenCartIsEmpty"
