"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify if customer postal code is validated when adding new customer","758","verifyAddingCustomersWithInvalidPostalCode","BankAppSuite","Tue Jul 08 20:24:56 GMT 2025","failed","Tue Jul 08 20:24:57 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyAddingCustomersWithInvalidPostalCode"
"Verify if customers can successfully withdraw their funds","2452","verifyCustomerCanWithdrawSuccessfully","BankAppSuite","Tue Jul 08 20:24:56 GMT 2025","passed","Tue Jul 08 20:24:58 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCanWithdrawSuccessfully"
"Verify if a bank manager is able to add new customers","1517","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Tue Jul 08 20:25:37 GMT 2025","passed","Tue Jul 08 20:25:39 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"Verify if amount gets validated when withdrawing","7664","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 20:25:10 GMT 2025","passed","Tue Jul 08 20:25:17 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if amount gets validated when making deposits","7273","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 20:24:09 GMT 2025","passed","Tue Jul 08 20:24:16 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if a customer can successfully make a deposit","2524","verifyCustomerCanDepositSuccessfully","BankAppSuite","Tue Jul 08 20:24:17 GMT 2025","passed","Tue Jul 08 20:24:20 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCanDepositSuccessfully"
"Verify if a bank manager is able to add new customers","805","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Tue Jul 08 20:24:59 GMT 2025","passed","Tue Jul 08 20:25:00 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"Verify if a customer profile is required to open an account","6515","verifyCustomerIsMandatoryToOpenAccount","BankAppSuite","Tue Jul 08 20:25:59 GMT 2025","passed","Tue Jul 08 20:26:06 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyCustomerIsMandatoryToOpenAccount"
"Verify if amount gets validated when making deposits","6961","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 20:24:05 GMT 2025","passed","Tue Jul 08 20:24:12 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if a bank manager is able to open an account for a customer","2498","verifyManagerCanOpenAccountSuccessfully","BankAppSuite","Tue Jul 08 20:26:08 GMT 2025","passed","Tue Jul 08 20:26:11 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyManagerCanOpenAccountSuccessfully"
"Verify if customer names are validated when adding new customer","789","verifyAddingCustomersWithInvalidNames","BankAppSuite","Tue Jul 08 20:24:53 GMT 2025","failed","Tue Jul 08 20:24:54 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyAddingCustomersWithInvalidNames"
"Verify if amount gets validated when withdrawing","7259","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 20:24:27 GMT 2025","passed","Tue Jul 08 20:24:34 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if amount gets validated when withdrawing","7235","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 20:24:35 GMT 2025","passed","Tue Jul 08 20:24:42 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if currency is required to open an account","6356","verifyCurrencyIsMandatoryToOpenAccount","BankAppSuite","Tue Jul 08 20:25:02 GMT 2025","passed","Tue Jul 08 20:25:09 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyCurrencyIsMandatoryToOpenAccount"
"Verify if a customer can successfully make a deposit","2526","verifyCustomerCanDepositSuccessfully","BankAppSuite","Tue Jul 08 20:23:58 GMT 2025","passed","Tue Jul 08 20:24:00 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCanDepositSuccessfully"
"Verify if amount gets validated when withdrawing","7666","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 20:25:00 GMT 2025","passed","Tue Jul 08 20:25:08 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if a bank manager is able to add new customers","1357","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Tue Jul 08 20:24:57 GMT 2025","passed","Tue Jul 08 20:24:58 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"Verify if amount gets validated when making deposits","6965","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 20:24:14 GMT 2025","passed","Tue Jul 08 20:24:21 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if a customer profile is required to open an account","6135","verifyCustomerIsMandatoryToOpenAccount","BankAppSuite","Tue Jul 08 20:25:19 GMT 2025","passed","Tue Jul 08 20:25:25 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyCustomerIsMandatoryToOpenAccount"
"Verify if a bank manager is able to add new customers","793","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Tue Jul 08 20:25:03 GMT 2025","passed","Tue Jul 08 20:25:03 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"Verify if amount gets validated when withdrawing","6845","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 20:24:35 GMT 2025","passed","Tue Jul 08 20:24:42 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if customers can view their own transaction history","2151","verifyCustomerCanViewTransactionHistory","BankAppSuite","Tue Jul 08 20:23:55 GMT 2025","passed","Tue Jul 08 20:23:57 GMT 2025","tests.customer.TransactionHistoryTest","Browser Tests","tests.customer.TransactionHistoryTest","verifyCustomerCanViewTransactionHistory"
