"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify if customer can successfully access their own account","2188","verifyCustomerCanAccessTheirOwnAccount","BankAppSuite","Mon Jul 07 11:49:20 GMT 2025","passed","Mon Jul 07 11:49:22 GMT 2025","tests.login.CustomerLoginTest","Firefox Tests","tests.login.CustomerLoginTest","verifyCustomerCanAccessTheirOwnAccount"
"Verify if a bank manager is able to add new customers","1461","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Mon Jul 07 11:50:41 GMT 2025","passed","Mon Jul 07 11:50:43 GMT 2025","tests.bank_manager.AddCustomerTest","Edge Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"Verify if amount gets validated when withdrawing","7364","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Mon Jul 07 11:50:15 GMT 2025","passed","Mon Jul 07 11:50:22 GMT 2025","tests.customer.WithdrawFundsTest","Edge Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if amount gets validated when making deposits","7472","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Mon Jul 07 11:49:40 GMT 2025","passed","Mon Jul 07 11:49:48 GMT 2025","tests.customer.DepositFundsTest","Firefox Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if amount gets validated when making deposits","7652","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Mon Jul 07 11:49:31 GMT 2025","passed","Mon Jul 07 11:49:38 GMT 2025","tests.customer.DepositFundsTest","Firefox Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if customer can successfully access their own account","2180","verifyCustomerCanAccessTheirOwnAccount","BankAppSuite","Mon Jul 07 11:49:20 GMT 2025","passed","Mon Jul 07 11:49:22 GMT 2025","tests.login.CustomerLoginTest","Edge Tests","tests.login.CustomerLoginTest","verifyCustomerCanAccessTheirOwnAccount"
"Verify if a bank manager is able to add new customers","1445","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Mon Jul 07 11:50:42 GMT 2025","passed","Mon Jul 07 11:50:43 GMT 2025","tests.bank_manager.AddCustomerTest","Firefox Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"Verify if amount gets validated when making deposits","7587","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Mon Jul 07 11:49:50 GMT 2025","passed","Mon Jul 07 11:49:58 GMT 2025","tests.customer.DepositFundsTest","Chrome Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if customer names are validated when adding new customer","1462","verifyAddingCustomersWithInvalidNames","BankAppSuite","Mon Jul 07 11:50:34 GMT 2025","failed","Mon Jul 07 11:50:35 GMT 2025","tests.bank_manager.AddCustomerTest","Edge Tests","tests.bank_manager.AddCustomerTest","verifyAddingCustomersWithInvalidNames"
"Verify if customers can successfully withdraw their funds","2289","verifyCustomerCanWithdrawSuccessfully","BankAppSuite","Mon Jul 07 11:50:00 GMT 2025","passed","Mon Jul 07 11:50:02 GMT 2025","tests.customer.WithdrawFundsTest","Chrome Tests","tests.customer.WithdrawFundsTest","verifyCustomerCanWithdrawSuccessfully"
"Verify if a bank manager is able to open an account for a customer","2560","verifyManagerCanOpenAccountSuccessfully","BankAppSuite","Mon Jul 07 11:51:12 GMT 2025","passed","Mon Jul 07 11:51:15 GMT 2025","tests.bank_manager.AccountTest","Edge Tests","tests.bank_manager.AccountTest","verifyManagerCanOpenAccountSuccessfully"
"Verify if amount gets validated when withdrawing","7518","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Mon Jul 07 11:50:24 GMT 2025","passed","Mon Jul 07 11:50:31 GMT 2025","tests.customer.WithdrawFundsTest","Chrome Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if currency is required to open an account","6467","verifyCurrencyIsMandatoryToOpenAccount","BankAppSuite","Mon Jul 07 11:50:55 GMT 2025","passed","Mon Jul 07 11:51:01 GMT 2025","tests.bank_manager.AccountTest","Edge Tests","tests.bank_manager.AccountTest","verifyCurrencyIsMandatoryToOpenAccount"
"Verify if a customer can successfully make a deposit","2595","verifyCustomerCanDepositSuccessfully","BankAppSuite","Mon Jul 07 11:49:26 GMT 2025","passed","Mon Jul 07 11:49:29 GMT 2025","tests.customer.DepositFundsTest","Firefox Tests","tests.customer.DepositFundsTest","verifyCustomerCanDepositSuccessfully"
"Verify if amount gets validated when withdrawing","7376","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Mon Jul 07 11:50:14 GMT 2025","passed","Mon Jul 07 11:50:22 GMT 2025","tests.customer.WithdrawFundsTest","Chrome Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
