"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify if schema validation enforces required fields constraint when creating a post","71","verifySchemaValidationWhenCreatingPost","API Test Suite","Fri Jul 11 08:06:30 GMT 2025","failed","Fri Jul 11 08:06:30 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifySchemaValidationWhenCreatingPost"
"Verify if schema validation enforces required fields constraint when creating a post","71","verifySchemaValidationWhenCreatingPost","API Test Suite","Fri Jul 11 08:06:30 GMT 2025","failed","Fri Jul 11 08:06:30 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifySchemaValidationWhenCreatingPost"
"Verify if correct status code is returned when requested post is not found","93","verifyFetchingNonExistingPostReturns404","API Test Suite","Fri Jul 11 08:06:29 GMT 2025","passed","Fri Jul 11 08:06:29 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyFetchingNonExistingPostReturns404"
"Verify if user cannot perform an update on a non-existing post","66","verifyUpdatingNonExistingPostFails","API Test Suite","Fri Jul 11 08:06:30 GMT 2025","failed","Fri Jul 11 08:06:30 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyUpdatingNonExistingPostFails"
"Verify if user can view specific post","643","verifyGetPostByIdReturnsTheExpectedPost","API Test Suite","Fri Jul 11 08:06:29 GMT 2025","passed","Fri Jul 11 08:06:30 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyGetPostByIdReturnsTheExpectedPost"
"Verify if a post can be deleted","61","verifyPostCanBeDeletedSuccessfully","API Test Suite","Fri Jul 11 08:06:30 GMT 2025","passed","Fri Jul 11 08:06:30 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyPostCanBeDeletedSuccessfully"
"Verify if user can update a post successfully given all required data","86","verifyUpdatePostSuccessGivenRequiredData","API Test Suite","Fri Jul 11 08:06:30 GMT 2025","passed","Fri Jul 11 08:06:30 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyUpdatePostSuccessGivenRequiredData"
"Verify if user can view all posts","221","verifyGetPostsReturnsAllPosts","API Test Suite","Fri Jul 11 08:06:30 GMT 2025","passed","Fri Jul 11 08:06:30 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyGetPostsReturnsAllPosts"
"Verify if user can create a post successfully given all required data","2226","verifyCreatePostSuccessGivenRequiredData","API Test Suite","Fri Jul 11 08:06:27 GMT 2025","passed","Fri Jul 11 08:06:29 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyCreatePostSuccessGivenRequiredData"
"Verify if schema validation enforces required fields constraint when creating a post","78","verifySchemaValidationWhenCreatingPost","API Test Suite","Fri Jul 11 08:06:30 GMT 2025","failed","Fri Jul 11 08:06:30 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifySchemaValidationWhenCreatingPost"
"Verify if user can view all comments related to a specific post","83","verifyPostHasComments","API Test Suite","Fri Jul 11 08:06:30 GMT 2025","passed","Fri Jul 11 08:06:30 GMT 2025","tests.PostApiTests","Post API Tests","tests.PostApiTests","verifyPostHasComments"
