"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7400","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Fri Jul 04 11:30:50 GMT 2025","passed","Fri Jul 04 11:30:57 GMT 2025","tests.customer.WithdrawFundsTest","Chrome Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"","3447","verifyBankManagerCanDeleteCustomerAccount","BankAppSuite","Fri Jul 04 11:31:25 GMT 2025","passed","Fri Jul 04 11:31:28 GMT 2025","tests.bank_manager.AccountTest","Firefox Tests","tests.bank_manager.AccountTest","verifyBankManagerCanDeleteCustomerAccount"
"","7472","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Fri Jul 04 11:30:40 GMT 2025","passed","Fri Jul 04 11:30:47 GMT 2025","tests.customer.WithdrawFundsTest","Firefox Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"","7650","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Fri Jul 04 11:30:15 GMT 2025","passed","Fri Jul 04 11:30:23 GMT 2025","tests.customer.DepositFundsTest","Edge Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"","2727","verifyCustomerCanWithdrawSuccessfully","BankAppSuite","Fri Jul 04 11:30:34 GMT 2025","passed","Fri Jul 04 11:30:37 GMT 2025","tests.customer.WithdrawFundsTest","Edge Tests","tests.customer.WithdrawFundsTest","verifyCustomerCanWithdrawSuccessfully"
"","7752","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Fri Jul 04 11:30:06 GMT 2025","passed","Fri Jul 04 11:30:13 GMT 2025","tests.customer.DepositFundsTest","Chrome Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"","7636","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Fri Jul 04 11:30:25 GMT 2025","passed","Fri Jul 04 11:30:33 GMT 2025","tests.customer.DepositFundsTest","Firefox Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"","1607","verifyAddingCustomersWithInvalidPostalCode","BankAppSuite","Fri Jul 04 11:31:13 GMT 2025","failed","Fri Jul 04 11:31:15 GMT 2025","tests.bank_manager.AddCustomerTest","Chrome Tests","tests.bank_manager.AddCustomerTest","verifyAddingCustomersWithInvalidPostalCode"
"","6640","verifyCustomerIsMandatoryToOpenAccount","BankAppSuite","Fri Jul 04 11:31:38 GMT 2025","passed","Fri Jul 04 11:31:45 GMT 2025","tests.bank_manager.AccountTest","Edge Tests","tests.bank_manager.AccountTest","verifyCustomerIsMandatoryToOpenAccount"
"","1811","verifyAddingCustomersWithInvalidNames","BankAppSuite","Fri Jul 04 11:31:07 GMT 2025","failed","Fri Jul 04 11:31:09 GMT 2025","tests.bank_manager.AddCustomerTest","Edge Tests","tests.bank_manager.AddCustomerTest","verifyAddingCustomersWithInvalidNames"
"","3292","verifyBankManagerCanDeleteCustomerAccount","BankAppSuite","Fri Jul 04 11:31:25 GMT 2025","passed","Fri Jul 04 11:31:29 GMT 2025","tests.bank_manager.AccountTest","Chrome Tests","tests.bank_manager.AccountTest","verifyBankManagerCanDeleteCustomerAccount"
"","2476","verifyManagerCanOpenAccountSuccessfully","BankAppSuite","Fri Jul 04 11:31:48 GMT 2025","passed","Fri Jul 04 11:31:50 GMT 2025","tests.bank_manager.AccountTest","Edge Tests","tests.bank_manager.AccountTest","verifyManagerCanOpenAccountSuccessfully"
"","2518","verifyCustomerCanWithdrawSuccessfully","BankAppSuite","Fri Jul 04 11:30:35 GMT 2025","passed","Fri Jul 04 11:30:38 GMT 2025","tests.customer.WithdrawFundsTest","Firefox Tests","tests.customer.WithdrawFundsTest","verifyCustomerCanWithdrawSuccessfully"
"Verify if customers can view their own transaction history","2421","verify","BankAppSuite","Fri Jul 04 11:29:56 GMT 2025","passed","Fri Jul 04 11:29:58 GMT 2025","tests.customer.TransactionHistoryTest","Chrome Tests","tests.customer.TransactionHistoryTest","verify"
"","1914","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Fri Jul 04 11:31:16 GMT 2025","passed","Fri Jul 04 11:31:18 GMT 2025","tests.bank_manager.AddCustomerTest","Edge Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"Verify if customers can view their own transaction history","2433","verify","BankAppSuite","Fri Jul 04 11:29:56 GMT 2025","passed","Fri Jul 04 11:29:58 GMT 2025","tests.customer.TransactionHistoryTest","Edge Tests","tests.customer.TransactionHistoryTest","verify"
"Verify if customer can successfully access their own account","2309","verifyCustomerCanAccessTheirOwnAccount","BankAppSuite","Fri Jul 04 11:29:51 GMT 2025","passed","Fri Jul 04 11:29:53 GMT 2025","tests.login.CustomerLoginTest","Edge Tests","tests.login.CustomerLoginTest","verifyCustomerCanAccessTheirOwnAccount"
"","1566","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Fri Jul 04 11:31:21 GMT 2025","passed","Fri Jul 04 11:31:23 GMT 2025","tests.bank_manager.AddCustomerTest","Chrome Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"","1554","verifyAddingCustomersWithInvalidNames","BankAppSuite","Fri Jul 04 11:31:09 GMT 2025","failed","Fri Jul 04 11:31:11 GMT 2025","tests.bank_manager.AddCustomerTest","Chrome Tests","tests.bank_manager.AddCustomerTest","verifyAddingCustomersWithInvalidNames"
"","6462","verifyCurrencyIsMandatoryToOpenAccount","BankAppSuite","Fri Jul 04 11:31:30 GMT 2025","passed","Fri Jul 04 11:31:37 GMT 2025","tests.bank_manager.AccountTest","Firefox Tests","tests.bank_manager.AccountTest","verifyCurrencyIsMandatoryToOpenAccount"
"","7471","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Fri Jul 04 11:30:40 GMT 2025","passed","Fri Jul 04 11:30:47 GMT 2025","tests.customer.WithdrawFundsTest","Chrome Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"","7861","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Fri Jul 04 11:30:24 GMT 2025","passed","Fri Jul 04 11:30:32 GMT 2025","tests.customer.DepositFundsTest","Edge Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"","7642","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Fri Jul 04 11:30:39 GMT 2025","passed","Fri Jul 04 11:30:46 GMT 2025","tests.customer.WithdrawFundsTest","Edge Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"","7499","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Fri Jul 04 11:30:16 GMT 2025","passed","Fri Jul 04 11:30:23 GMT 2025","tests.customer.DepositFundsTest","Chrome Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"","1796","verifyAddingCustomersWithInvalidPostalCode","BankAppSuite","Fri Jul 04 11:31:12 GMT 2025","failed","Fri Jul 04 11:31:13 GMT 2025","tests.bank_manager.AddCustomerTest","Edge Tests","tests.bank_manager.AddCustomerTest","verifyAddingCustomersWithInvalidPostalCode"
