"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify if a customer profile is required to open an account","6149","verifyCustomerIsMandatoryToOpenAccount","BankAppSuite","Tue Jul 08 20:29:44 GMT 2025","passed","Tue Jul 08 20:29:51 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyCustomerIsMandatoryToOpenAccount"
"Verify if customers can view their own transaction history","2098","verifyCustomerCanViewTransactionHistory","BankAppSuite","Tue Jul 08 20:28:21 GMT 2025","passed","Tue Jul 08 20:28:23 GMT 2025","tests.customer.TransactionHistoryTest","Browser Tests","tests.customer.TransactionHistoryTest","verifyCustomerCanViewTransactionHistory"
"Verify if a bank manager is able to add new customers","762","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Tue Jul 08 20:29:25 GMT 2025","passed","Tue Jul 08 20:29:26 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"Verify if amount gets validated when making deposits","6897","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 20:28:22 GMT 2025","passed","Tue Jul 08 20:28:29 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if customers can successfully withdraw their funds","1866","verifyCustomerCanWithdrawSuccessfully","BankAppSuite","Tue Jul 08 20:28:49 GMT 2025","passed","Tue Jul 08 20:28:50 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCanWithdrawSuccessfully"
"Verify if amount gets validated when making deposits","6966","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 20:28:40 GMT 2025","passed","Tue Jul 08 20:28:47 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if customer postal code is validated when adding new customer","1355","verifyAddingCustomersWithInvalidPostalCode","BankAppSuite","Tue Jul 08 20:29:18 GMT 2025","failed","Tue Jul 08 20:29:19 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyAddingCustomersWithInvalidPostalCode"
"Verify if customers can view their own transaction history","1575","verifyCustomerCanViewTransactionHistory","BankAppSuite","Tue Jul 08 20:28:15 GMT 2025","passed","Tue Jul 08 20:28:16 GMT 2025","tests.customer.TransactionHistoryTest","Browser Tests","tests.customer.TransactionHistoryTest","verifyCustomerCanViewTransactionHistory"
"Verify if amount gets validated when withdrawing","6888","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 20:28:52 GMT 2025","passed","Tue Jul 08 20:28:59 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if amount gets validated when making deposits","7340","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 20:28:25 GMT 2025","passed","Tue Jul 08 20:28:32 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if amount gets validated when withdrawing","7303","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 20:28:52 GMT 2025","passed","Tue Jul 08 20:29:00 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if customer postal code is validated when adding new customer","1399","verifyAddingCustomersWithInvalidPostalCode","BankAppSuite","Tue Jul 08 20:29:19 GMT 2025","failed","Tue Jul 08 20:29:21 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyAddingCustomersWithInvalidPostalCode"
"Verify if amount gets validated when making deposits","7332","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 20:28:26 GMT 2025","passed","Tue Jul 08 20:28:34 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if a bank manager is able to add new customers","794","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Tue Jul 08 20:29:29 GMT 2025","passed","Tue Jul 08 20:29:29 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"Verify if customers can successfully withdraw their funds","2180","verifyCustomerCanWithdrawSuccessfully","BankAppSuite","Tue Jul 08 20:28:50 GMT 2025","passed","Tue Jul 08 20:28:52 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCanWithdrawSuccessfully"
"Verify if customer names are validated when adding new customer","1407","verifyAddingCustomersWithInvalidNames","BankAppSuite","Tue Jul 08 20:29:17 GMT 2025","failed","Tue Jul 08 20:29:18 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyAddingCustomersWithInvalidNames"
"Verify if a customer can successfully make a deposit","2230","verifyCustomerCanDepositSuccessfully","BankAppSuite","Tue Jul 08 20:28:22 GMT 2025","passed","Tue Jul 08 20:28:24 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCanDepositSuccessfully"
"Verify if amount gets validated when making deposits","7505","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 20:28:41 GMT 2025","passed","Tue Jul 08 20:28:48 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if a bank manager is able to delete a customer account","1785","verifyBankManagerCanDeleteCustomerAccount","BankAppSuite","Tue Jul 08 20:29:32 GMT 2025","passed","Tue Jul 08 20:29:34 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyBankManagerCanDeleteCustomerAccount"
"Verify if amount gets validated when withdrawing","7320","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 20:28:52 GMT 2025","passed","Tue Jul 08 20:28:59 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if amount gets validated when withdrawing","7306","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 20:29:08 GMT 2025","passed","Tue Jul 08 20:29:15 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if a bank manager is able to delete a customer account","3146","verifyBankManagerCanDeleteCustomerAccount","BankAppSuite","Tue Jul 08 20:29:27 GMT 2025","passed","Tue Jul 08 20:29:30 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyBankManagerCanDeleteCustomerAccount"
"Verify if amount gets validated when making deposits","7344","verifyCustomerCannotDepositWithInvalidAmount","BankAppSuite","Tue Jul 08 20:28:33 GMT 2025","passed","Tue Jul 08 20:28:40 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCannotDepositWithInvalidAmount"
"Verify if customer names are validated when adding new customer","1451","verifyAddingCustomersWithInvalidNames","BankAppSuite","Tue Jul 08 20:29:16 GMT 2025","failed","Tue Jul 08 20:29:17 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyAddingCustomersWithInvalidNames"
"Verify if a bank manager is able to open an account for a customer","1418","verifyManagerCanOpenAccountSuccessfully","BankAppSuite","Tue Jul 08 20:29:53 GMT 2025","passed","Tue Jul 08 20:29:54 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyManagerCanOpenAccountSuccessfully"
"Verify if customer can successfully access their own account","1734","verifyCustomerCanAccessTheirOwnAccount","BankAppSuite","Tue Jul 08 20:28:16 GMT 2025","passed","Tue Jul 08 20:28:18 GMT 2025","tests.login.CustomerLoginTest","Browser Tests","tests.login.CustomerLoginTest","verifyCustomerCanAccessTheirOwnAccount"
"Verify if currency is required to open an account","6389","verifyCurrencyIsMandatoryToOpenAccount","BankAppSuite","Tue Jul 08 20:29:31 GMT 2025","passed","Tue Jul 08 20:29:37 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyCurrencyIsMandatoryToOpenAccount"
"Verify if a customer can successfully make a deposit","2173","verifyCustomerCanDepositSuccessfully","BankAppSuite","Tue Jul 08 20:28:24 GMT 2025","passed","Tue Jul 08 20:28:26 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCanDepositSuccessfully"
"Verify if customers can successfully withdraw their funds","2178","verifyCustomerCanWithdrawSuccessfully","BankAppSuite","Tue Jul 08 20:28:49 GMT 2025","passed","Tue Jul 08 20:28:51 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCanWithdrawSuccessfully"
"Verify if amount gets validated when withdrawing","7299","verifyCustomerCannotWithdrawWithInvalidAmount","BankAppSuite","Tue Jul 08 20:29:00 GMT 2025","passed","Tue Jul 08 20:29:08 GMT 2025","tests.customer.WithdrawFundsTest","Browser Tests","tests.customer.WithdrawFundsTest","verifyCustomerCannotWithdrawWithInvalidAmount"
"Verify if a bank manager is able to add new customers","1394","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Tue Jul 08 20:29:24 GMT 2025","passed","Tue Jul 08 20:29:26 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
"Verify if a bank manager is able to open an account for a customer","2279","verifyManagerCanOpenAccountSuccessfully","BankAppSuite","Tue Jul 08 20:29:46 GMT 2025","passed","Tue Jul 08 20:29:48 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyManagerCanOpenAccountSuccessfully"
"Verify if a customer profile is required to open an account","6400","verifyCustomerIsMandatoryToOpenAccount","BankAppSuite","Tue Jul 08 20:29:38 GMT 2025","passed","Tue Jul 08 20:29:45 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyCustomerIsMandatoryToOpenAccount"
"Verify if a bank manager is able to open an account for a customer","2205","verifyManagerCanOpenAccountSuccessfully","BankAppSuite","Tue Jul 08 20:29:42 GMT 2025","passed","Tue Jul 08 20:29:44 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyManagerCanOpenAccountSuccessfully"
"Verify if currency is required to open an account","6358","verifyCurrencyIsMandatoryToOpenAccount","BankAppSuite","Tue Jul 08 20:29:28 GMT 2025","passed","Tue Jul 08 20:29:34 GMT 2025","tests.bank_manager.AccountTest","Browser Tests","tests.bank_manager.AccountTest","verifyCurrencyIsMandatoryToOpenAccount"
"Verify if a customer can successfully make a deposit","1885","verifyCustomerCanDepositSuccessfully","BankAppSuite","Tue Jul 08 20:28:18 GMT 2025","passed","Tue Jul 08 20:28:20 GMT 2025","tests.customer.DepositFundsTest","Browser Tests","tests.customer.DepositFundsTest","verifyCustomerCanDepositSuccessfully"
"Verify if customer can successfully access their own account","1797","verifyCustomerCanAccessTheirOwnAccount","BankAppSuite","Tue Jul 08 20:28:11 GMT 2025","passed","Tue Jul 08 20:28:13 GMT 2025","tests.login.CustomerLoginTest","Browser Tests","tests.login.CustomerLoginTest","verifyCustomerCanAccessTheirOwnAccount"
"Verify if a bank manager is able to add new customers","1349","verifyManagerCanAddCustomerSuccessfully","BankAppSuite","Tue Jul 08 20:29:22 GMT 2025","passed","Tue Jul 08 20:29:23 GMT 2025","tests.bank_manager.AddCustomerTest","Browser Tests","tests.bank_manager.AddCustomerTest","verifyManagerCanAddCustomerSuccessfully"
